actual_debt,canonical_claim,usable_revenue,debt_claim_ratio,funding_gap,discount_bps,bonus_output,critical
1136250,1000000,0,1.13625,136250,500,7171,True
1136500,1000000,0,1.1365,136500,500,7184,True
1136750,1000000,0,1.13675,136750,500,7197,True
1137000,1000000,0,1.137,137000,500,7210,True
1137250,1000000,0,1.13725,137250,500,7223,True
1137500,1000000,0,1.1375,137500,500,7236,True
1137750,1000000,0,1.13775,137750,500,7250,True
1138000,1000000,0,1.138,138000,500,7263,True
1138250,1000000,0,1.13825,138250,500,7276,True
1138500,1000000,0,1.1385,138500,500,7289,True
1138750,1000000,0,1.13875,138750,500,7302,True
1139000,1000000,0,1.139,139000,500,7315,True
1139250,1000000,0,1.13925,139250,500,7328,True
